Requirement ID,Requirement Description,Test ID,Test Description,Verification Method,Status,Evidence Reference
REQ_PERF_0037,Performance Requirements requirement #37,TEST_PERF_0037,Verification test for REQ_PERF_0037,Analysis,Verified,E-037
REQ_SAFE_0038,Safety Requirements requirement #38,TEST_SAFE_0038,Verification test for REQ_SAFE_0038,Inspection,Verified,E-038
REQ_IF_0039,Interface Requirements requirement #39,TEST_IF_0039,Verification test for REQ_IF_0039,Demonstration,Verified,E-039
REQ_GNC_0040,"Guidance, Navigation and Control requirement #40",TEST_GNC_0040,Verification test for REQ_GNC_0040,Test,Verified,E-040
REQ_SIM_0041,Simulation Accuracy requirement #41,TEST_SIM_0041,Verification test for REQ_SIM_0041,Analysis,Verified,E-041
REQ_PERF_0042,Performance Requirements requirement #42,TEST_PERF_0042,Verification test for REQ_PERF_0042,Inspection,Verified,E-042
REQ_SAFE_0043,Safety Requirements requirement #43,TEST_SAFE_0043,Verification test for REQ_SAFE_0043,Demonstration,Verified,E-043
REQ_IF_0044,Interface Requirements requirement #44,TEST_IF_0044,Verification test for REQ_IF_0044,Test,Verified,E-044
REQ_GNC_0045,"Guidance, Navigation and Control requirement #45",TEST_GNC_0045,Verification test for REQ_GNC_0045,Analysis,In Progress,E-045
REQ_SIM_0046,Simulation Accuracy requirement #46,TEST_SIM_0046,Verification test for REQ_SIM_0046,Inspection,In Progress,E-046
REQ_PERF_0047,Performance Requirements requirement #47,TEST_PERF_0047,Verification test for REQ_PERF_0047,Demonstration,In Progress,E-047
REQ_SAFE_0048,Safety Requirements requirement #48,TEST_SAFE_0048,Verification test for REQ_SAFE_0048,Test,In Progress,E-048
REQ_IF_0049,Interface Requirements requirement #49,TEST_IF_0049,Verification test for REQ_IF_0049,Analysis,In Progress,E-049
