claim_id,kind,label,caption,path,line,status
CLAIM-0030,corollary,cor:flat,\begin{corollary}[Flatness Commutativity],manuscripts/ciir/manuscript.tex,343,asserted-only
CLAIM-0031,theorem,thm:representation,\begin{theorem}[CIIR Representation Theorem],manuscripts/ciir/manuscript.tex,367,asserted-only
CLAIM-0032,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,384,proof-block-present
CLAIM-0033,theorem,thm:independence,\begin{theorem}[Independence of Axioms],manuscripts/ciir/manuscript.tex,415,asserted-only
CLAIM-0034,proof,,\begin{proof}[Proof sketch],manuscripts/ciir/manuscript.tex,421,proof-block-present
CLAIM-0035,definition,def:hamiltonian,\begin{definition}[Constraint Hamiltonian],manuscripts/ciir/manuscript.tex,450,asserted-only
CLAIM-0036,definition,def:dissipator,\begin{definition}[Constraint Dissipator],manuscripts/ciir/manuscript.tex,460,asserted-only
CLAIM-0037,theorem,thm:master,\begin{theorem}[CIIR Master Equation],manuscripts/ciir/manuscript.tex,475,asserted-only
CLAIM-0038,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,488,proof-block-present
CLAIM-0039,definition,prop:equilibrium,\begin{definition}[Constraint-Equilibrium State],manuscripts/ciir/manuscript.tex,501,asserted-only
CLAIM-0040,proposition,prop:equilibrium,\begin{proposition}[Existence of Equilibrium],manuscripts/ciir/manuscript.tex,505,asserted-only
CLAIM-0041,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,514,proof-block-present
CLAIM-0042,definition,,\begin{definition}[CIIR Observable],manuscripts/ciir/manuscript.tex,525,asserted-only
CLAIM-0043,definition,eq:expectation,\begin{definition}[Expectation Value],manuscripts/ciir/manuscript.tex,531,asserted-only
CLAIM-0044,definition,eq:collapse,\begin{definition}[Post-Measurement Update],manuscripts/ciir/manuscript.tex,544,asserted-only
CLAIM-0045,theorem,thm:distortion,\begin{theorem}[Constraint-Induced Measurement Distortion],manuscripts/ciir/manuscript.tex,554,asserted-only
CLAIM-0046,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,568,proof-block-present
CLAIM-0047,definition,def:centropy,\begin{definition}[Constraint Entropy],manuscripts/ciir/manuscript.tex,581,asserted-only
CLAIM-0048,theorem,thm:entropy,\begin{theorem}[Constraint Entropy Non-Decrease],manuscripts/ciir/manuscript.tex,591,asserted-only
CLAIM-0049,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,603,proof-block-present
CLAIM-0050,definition,def:symgroup,\begin{definition}[Constraint Symmetry Group],manuscripts/ciir/manuscript.tex,614,asserted-only
CLAIM-0051,theorem,thm:noether,"\begin{theorem}[CIIR N{\""o}ther Theorem]",manuscripts/ciir/manuscript.tex,624,asserted-only
CLAIM-0052,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,636,proof-block-present
CLAIM-0053,corollary,cor:invariant,\begin{corollary}[Information Invariant],manuscripts/ciir/manuscript.tex,648,asserted-only
CLAIM-0054,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,655,proof-block-present
CLAIM-0055,theorem,thm:noninvert,\begin{theorem}[Interface Non-Invertibility],manuscripts/ciir/manuscript.tex,664,asserted-only
CLAIM-0056,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,671,proof-block-present
CLAIM-0057,theorem,thm:interference,\begin{theorem}[Cognitive Interference Theorem],manuscripts/ciir/manuscript.tex,680,asserted-only
CLAIM-0058,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,696,proof-block-present
CLAIM-0059,theorem,thm:cidistortion,\begin{theorem}[Constraint-Induced Distortion Theorem],manuscripts/ciir/manuscript.tex,707,asserted-only
CLAIM-0060,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,720,proof-block-present
CLAIM-0061,theorem,thm:decoherence,\begin{theorem}[Decoherence Monotonicity],manuscripts/ciir/manuscript.tex,729,asserted-only
CLAIM-0062,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,741,proof-block-present
CLAIM-0063,theorem,thm:entbound,\begin{theorem}[Constraint Entropy Bound],manuscripts/ciir/manuscript.tex,749,asserted-only
CLAIM-0064,proof,thm:capacity,\begin{proof},manuscripts/ciir/manuscript.tex,759,proof-block-present
CLAIM-0065,theorem,thm:capacity,\begin{theorem}[Constraint Capacity Theorem],manuscripts/ciir/manuscript.tex,763,asserted-only
CLAIM-0066,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,776,proof-block-present
CLAIM-0067,theorem,thm:superposition,\begin{theorem}[Cognitive Superposition Principle],manuscripts/ciir/manuscript.tex,782,asserted-only
CLAIM-0068,proof,thm:nocloning,\begin{proof},manuscripts/ciir/manuscript.tex,789,proof-block-present
CLAIM-0069,theorem,thm:nocloning,\begin{theorem}[No-Cloning in CIIR],manuscripts/ciir/manuscript.tex,793,asserted-only
CLAIM-0070,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,800,proof-block-present
CLAIM-0071,theorem,thm:continuity,\begin{theorem}[Interface Continuity],manuscripts/ciir/manuscript.tex,808,asserted-only
CLAIM-0072,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,820,proof-block-present
CLAIM-0073,theorem,thm:finitedim,\begin{theorem}[Finite-Dimensional Model Existence],manuscripts/ciir/manuscript.tex,854,asserted-only
CLAIM-0074,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,861,proof-block-present
CLAIM-0075,theorem,thm:infinitedim,\begin{theorem}[Infinite-Dimensional Model Existence],manuscripts/ciir/manuscript.tex,887,asserted-only
CLAIM-0076,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,894,proof-block-present
CLAIM-0077,definition,def:empmap,\begin{definition}[Empirical Interpretation Map],manuscripts/ciir/manuscript.tex,907,asserted-only
CLAIM-0078,proposition,prop:tomo,\begin{proposition}[Tomographic Completeness],manuscripts/ciir/manuscript.tex,921,asserted-only
CLAIM-0079,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,928,proof-block-present
CLAIM-0080,theorem,thm:bandwidth,\begin{theorem}[Constraint-Bandwidth Trade-off],manuscripts/ciir/manuscript.tex,950,asserted-only
CLAIM-0081,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,961,proof-block-present
CLAIM-0082,theorem,thm:classicallimit,\begin{theorem}[Classical Probability as Limiting Case],manuscripts/ciir/manuscript.tex,1016,asserted-only
CLAIM-0083,proof,thm:bayesian,\begin{proof},manuscripts/ciir/manuscript.tex,1024,proof-block-present
CLAIM-0084,theorem,thm:bayesian,\begin{theorem}[Bayesian Inference as Measurement Update],manuscripts/ciir/manuscript.tex,1028,asserted-only
CLAIM-0085,proof,thm:qcog,\begin{proof},manuscripts/ciir/manuscript.tex,1038,proof-block-present
CLAIM-0086,theorem,thm:qcog,\begin{theorem}[Quantum Cognition as Special Case],manuscripts/ciir/manuscript.tex,1042,asserted-only
CLAIM-0087,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,1050,proof-block-present
CLAIM-0088,definition,def:3.1,\begin{definition}[Reality Space],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,44,asserted-only
CLAIM-0089,definition,def:3.2,\begin{definition}[Borel Structure on $\CR$],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,78,asserted-only
CLAIM-0090,lemma,lem:3.1,\begin{lemma}[Standard Borel Property],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,89,asserted-only
CLAIM-0091,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,96,proof-block-present
CLAIM-0092,proposition,prop:3.1,\begin{proposition}[Existence of Non-Trivial Reality Spaces],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,106,asserted-only
CLAIM-0093,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,113,proof-block-present
CLAIM-0094,definition,def:3.3,\begin{definition}[Smooth Manifold Structure],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,141,asserted-only
CLAIM-0095,definition,def:3.4,\begin{definition}[Riemannian Metric on $\CM$],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,151,asserted-only
CLAIM-0096,definition,def:3.5,\begin{definition}[Levi-Civita Connection],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,166,asserted-only
CLAIM-0097,definition,def:3.6,\begin{definition}[Riemannian Volume Form],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,177,asserted-only
CLAIM-0098,definition,def:3.7,\begin{definition}[Constraint Manifold],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,187,asserted-only
CLAIM-0099,definition,def:3.8,\begin{definition}[Constraint Curvature],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,208,asserted-only
CLAIM-0100,lemma,lem:3.2,\begin{lemma}[Continuity of Constraint Curvature],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,223,asserted-only
CLAIM-0101,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,230,proof-block-present
CLAIM-0102,definition,def:3.9,\begin{definition}[Constraint Curvature 2-Form],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,240,asserted-only
CLAIM-0103,lemma,lem:3.3,\begin{lemma}[Tensoriality of the Constraint Curvature 2-Form],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,253,asserted-only
CLAIM-0104,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,259,proof-block-present
CLAIM-0105,proposition,prop:3.2,\begin{proposition}[Bianchi Identity for Constraint Curvature],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,281,asserted-only
CLAIM-0106,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,291,proof-block-present
CLAIM-0107,definition,def:3.10,\begin{definition}[Complex Hilbert Space],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,306,asserted-only
CLAIM-0108,definition,def:3.11,\begin{definition}[Cognitive State Space],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,329,asserted-only
CLAIM-0109,lemma,lem:3.4,\begin{lemma}[Separability and Dimension],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,346,asserted-only
CLAIM-0110,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,355,proof-block-present
CLAIM-0111,definition,def:3.12,\begin{definition}[Bounded Operator Algebra],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,363,asserted-only
CLAIM-0112,definition,def:3.13,\begin{definition}[Trace-Class Operators],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,377,asserted-only
CLAIM-0113,definition,def:3.14,\begin{definition}[Density Operator Space],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,390,asserted-only
CLAIM-0114,proposition,prop:3.3,\begin{proposition}[Topological Properties of $\mathfrak{D}(\HC)$],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,405,asserted-only
CLAIM-0115,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,419,proof-block-present
CLAIM-0116,lemma,lem:3.5,\begin{lemma}[Spectral Decomposition of Density Operators],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,442,asserted-only
CLAIM-0117,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,453,proof-block-present
CLAIM-0118,definition,def:3.15,\begin{definition}[Ontic Operator Algebra],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,468,asserted-only
CLAIM-0119,definition,def:3.16,\begin{definition}[Complete Positivity],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,487,asserted-only
CLAIM-0120,definition,def:3.17,\begin{definition}[Trace Preservation],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,500,asserted-only
CLAIM-0121,definition,def:3.17b,\begin{definition}[Push-Forward on the Operator Algebra],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,508,asserted-only
CLAIM-0122,definition,def:3.18,\begin{definition}[Interface Map],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,525,asserted-only
CLAIM-0123,proposition,prop:3.4,\begin{proposition}[Kraus Representation],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,545,asserted-only
CLAIM-0124,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,557,proof-block-present
CLAIM-0125,lemma,lem:3.6,\begin{lemma}[Interface Maps are Contractive],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,568,asserted-only
CLAIM-0126,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,575,proof-block-present
CLAIM-0127,proposition,prop:3.5,\begin{proposition}[Stinespring Dilation of Interface Map],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,582,asserted-only
CLAIM-0128,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,595,proof-block-present
CLAIM-0129,definition,def:3.19,\begin{definition}[Self-Adjoint Operator],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,607,asserted-only
CLAIM-0130,definition,def:3.20,\begin{definition}[Observable Algebra],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,616,asserted-only
CLAIM-0131,proposition,prop:3.6,\begin{proposition}[Algebraic Properties of $\CA(\HC)$],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,629,asserted-only
CLAIM-0132,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,643,proof-block-present
CLAIM-0133,lemma,lem:3.7,\begin{lemma}[Spectral Theorem for Observables],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,660,asserted-only
CLAIM-0134,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,671,proof-block-present
CLAIM-0135,definition,def:3.21,\begin{definition}[Constraint-Image Subspace],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,685,asserted-only
CLAIM-0136,proposition,prop:3.7,\begin{proposition}[Properties of the Constraint-Image Subspace],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,699,asserted-only
CLAIM-0137,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,714,proof-block-present
CLAIM-0138,lemma,lem:3.8,\begin{lemma}[Dimension Bound on Constraint-Image Subspace],manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,733,asserted-only
CLAIM-0139,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch03_primitive_definitions.tex,740,proof-block-present
CLAIM-0140,theorem,thm:4.1,\begin{theorem}[Independence of Axioms],manuscripts/ciir_monograph/chapters/ch04_axiom_system.tex,386,asserted-only
CLAIM-0141,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch04_axiom_system.tex,396,proof-block-present
CLAIM-0142,theorem,thm:4.2,\begin{theorem}[Consistency of the Axiom System],manuscripts/ciir_monograph/chapters/ch04_axiom_system.tex,596,asserted-only
CLAIM-0143,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch04_axiom_system.tex,605,proof-block-present
CLAIM-0144,theorem,thm:4.3,\begin{theorem}[Sufficiency of the Axiom System],manuscripts/ciir_monograph/chapters/ch04_axiom_system.tex,715,asserted-only
CLAIM-0145,proof,,\begin{proof}[Proof outline],manuscripts/ciir_monograph/chapters/ch04_axiom_system.tex,744,proof-block-present
CLAIM-0146,definition,def:5.1,\begin{definition}[Constraint Frame],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,76,asserted-only
CLAIM-0147,definition,def:5.2,\begin{definition}[Constraint Operator Algebra],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,91,asserted-only
CLAIM-0148,definition,def:5.3,\begin{definition}[Constraint Generators],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,123,asserted-only
CLAIM-0149,lemma,lem:5.1,\begin{lemma}[Boundedness of Constraint Generators],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,133,asserted-only
CLAIM-0150,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,145,proof-block-present
CLAIM-0151,proposition,prop:5.1,\begin{proposition}[$C^*$-Algebra Structure of $\CK(\HC)$],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,161,asserted-only
CLAIM-0152,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,176,proof-block-present
CLAIM-0153,lemma,lem:5.2,\begin{lemma}[Self-Adjoint Part],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,199,asserted-only
CLAIM-0154,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,207,proof-block-present
CLAIM-0155,definition,def:5.4,\begin{definition}[Holonomy Tensor],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,227,asserted-only
CLAIM-0156,lemma,lem:5.3,\begin{lemma}[Antisymmetry of the Holonomy Tensor],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,243,asserted-only
CLAIM-0157,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,248,proof-block-present
CLAIM-0158,definition,def:5.5,\begin{definition}[Effective Planck Constant],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,257,asserted-only
CLAIM-0159,definition,def:5.6,\begin{definition}[Holonomy Operator],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,285,asserted-only
CLAIM-0160,theorem,thm:5.1,\begin{theorem}[Commutation Relations],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,299,asserted-only
CLAIM-0161,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,325,proof-block-present
CLAIM-0162,corollary,cor:5.1,\begin{corollary}[Lie Algebra Structure],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,391,asserted-only
CLAIM-0163,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,407,proof-block-present
CLAIM-0164,definition,def:5.7,\begin{definition}[Constraint Hamiltonian],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,421,asserted-only
CLAIM-0165,lemma,lem:5.4,\begin{lemma}[Well-Definedness of $\hatH_C$],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,432,asserted-only
CLAIM-0166,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,446,proof-block-present
CLAIM-0167,proposition,prop:5.2,\begin{proposition}[Spectral Properties of $\hatH_C$],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,475,asserted-only
CLAIM-0168,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,491,proof-block-present
CLAIM-0169,definition,def:5.8,\begin{definition}[Constraint Vacuum],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,502,asserted-only
CLAIM-0170,lemma,lem:5.5,\begin{lemma}[Uniqueness of the Constraint Vacuum],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,511,asserted-only
CLAIM-0171,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,519,proof-block-present
CLAIM-0172,definition,def:5.9,\begin{definition}[State Functional],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,543,asserted-only
CLAIM-0173,lemma,lem:5.6,\begin{lemma}[Properties of the State Functional],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,556,asserted-only
CLAIM-0174,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,573,proof-block-present
CLAIM-0175,definition,def:5.10,\begin{definition}[GNS Triple],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,586,asserted-only
CLAIM-0176,theorem,thm:5.2,\begin{theorem}[CIIR Representation Theorem],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,606,asserted-only
CLAIM-0177,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,632,proof-block-present
CLAIM-0178,theorem,thm:5.3,\begin{theorem}[Functoriality of CIIR Representations],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,681,asserted-only
CLAIM-0179,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,704,proof-block-present
CLAIM-0180,definition,def:5.11,\begin{definition}[Superselection Sectors],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,730,asserted-only
CLAIM-0181,proposition,prop:5.3,\begin{proposition}[Decomposition into Superselection Sectors],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,741,asserted-only
CLAIM-0182,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,762,proof-block-present
CLAIM-0183,lemma,lem:5.7,\begin{lemma}[Superselection and Density Operators],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,786,asserted-only
CLAIM-0184,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,804,proof-block-present
CLAIM-0185,definition,def:5.12,\begin{definition}[Joint Constraint Operator Algebra],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,825,asserted-only
CLAIM-0186,proposition,prop:5.4,\begin{proposition}[Properties of the Joint Algebra],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,841,asserted-only
CLAIM-0187,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,858,proof-block-present
CLAIM-0188,lemma,lem:5.8,\begin{lemma}[Entanglement and Constraint Curvature],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,880,asserted-only
CLAIM-0189,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,899,proof-block-present
CLAIM-0190,proposition,prop:5.5,\begin{proposition}[Partial Trace Reduction],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,914,asserted-only
CLAIM-0191,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,935,proof-block-present
CLAIM-0192,theorem,thm:5.4,\begin{theorem}[Classical Emergence via Decoherence],manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,955,asserted-only
CLAIM-0193,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch05_algebraic_structure.tex,976,proof-block-present
CLAIM-0194,definition,def:6.1,\begin{definition}[Cognitive System],manuscripts/ciir_monograph/chapters/ch06_representation_theory.tex,84,asserted-only
CLAIM-0195,definition,def:6.2,\begin{definition}[Constraint Morphism],manuscripts/ciir_monograph/chapters/ch06_representation_theory.tex,101,asserted-only
CLAIM-0196,definition,def:6.3,\begin{definition}[Composition of Constraint Morphisms],manuscripts/ciir_monograph/chapters/ch06_representation_theory.tex,160,asserted-only
CLAIM-0197,definition,def:6.4,\begin{definition}[Identity Constraint Morphism],manuscripts/ciir_monograph/chapters/ch06_representation_theory.tex,172,asserted-only
CLAIM-0198,theorem,thm:6.1,\begin{theorem}[CogSys is a Well-Defined Category],manuscripts/ciir_monograph/chapters/ch06_representation_theory.tex,180,asserted-only
CLAIM-0199,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch06_representation_theory.tex,203,proof-block-present
CLAIM-0200,lemma,lem:6.1,\begin{lemma}[Constraint Morphisms Preserve CPTP Structure],manuscripts/ciir_monograph/chapters/ch06_representation_theory.tex,272,asserted-only
CLAIM-0201,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch06_representation_theory.tex,284,proof-block-present
CLAIM-0202,lemma,lem:6.2,\begin{lemma}[Hom-sets in CogSys],manuscripts/ciir_monograph/chapters/ch06_representation_theory.tex,309,asserted-only
CLAIM-0203,proof,,\begin{proof},manuscripts/ciir_monograph/chapters/ch06_representation_theory.tex,322,proof-block-present
CLAIM-0204,definition,def:6.5,\begin{definition}[CIIR Representation],manuscripts/ciir_monograph/chapters/ch06_representation_theory.tex,341,asserted-only
CLAIM-0205,definition,def:6.6,\begin{definition}[Representation Morphism],manuscripts/ciir_monograph/chapters/ch06_representation_theory.tex,357,asserted-only
CLAIM-0206,definition,def:6.7,\begin{definition}[Composition of Representation Morphisms],manuscripts/ciir_monograph/chapters/ch06_representation_theory.tex,386,asserted-only
CLAIM-0207,definition,def:6.8,\begin{definition}[Identity Representation Morphism],manuscripts/ciir_monograph/chapters/ch06_representation_theory.tex,393,asserted-only
